soldprice,date,model
400.0,2021-04-29 01:45:27,intel xeon silver 4210
299.99,2021-04-28 18:48:03,intel xeon silver 4110
299.0,2021-04-28 07:58:13,intel xeon platinum 8176 es ql1f
800.0,2021-04-28 02:30:16,intel xeon gold 6146
800.0,2021-04-28 01:10:04,intel xeon gold 6146
800.0,2021-04-28 03:00:46,intel xeon gold 6146
800.0,2021-04-28 01:00:22,intel xeon gold 6146
1300.0,2021-04-28 02:17:57,intel xeon gold 6128
1205.0,2021-04-28 18:31:39,intel xeon gold 5218r
1469.0,2021-04-28 18:31:56,intel xeon gold 5218r
1194.99,2021-04-28 18:31:24,intel xeon gold 5218r
1194.99,2021-04-28 18:31:29,intel xeon gold 5218r
1194.99,2021-04-28 18:31:35,intel xeon gold 5218r
1469.0,2021-04-28 18:31:44,intel xeon gold 5218r
1469.0,2021-04-28 18:31:48,intel xeon gold 5218r
1469.0,2021-04-28 18:31:52,intel xeon gold 5218r
500.0,2021-04-27 18:01:22,intel xeon gold 5218
680.0,2021-04-27 14:47:09,intel xeon gold 5118
1923.0,2021-04-28 15:25:48,intel xeon e5-2699 v4
350.0,2021-04-27 15:34:36,intel xeon e5-2697 v4
240.0,2021-04-28 11:54:31,intel xeon e5-2697 v2
219.99,2021-04-28 16:10:41,intel xeon e5-2690 v4
862.5,2021-04-28 14:39:05,intel xeon e5-2683 v4
1600.0,2021-04-27 21:00:07,intel xeon e5-2683 v3
220.0,2021-04-27 21:59:22,intel xeon e5-2680 v3
240.0,2021-04-27 22:43:41,intel xeon e5-2670 v3
389.0,2021-04-28 17:35:57,intel xeon e5-2667 v3
450.0,2021-04-28 19:58:38,intel xeon e5-2660 v4
540.0,2021-04-28 19:39:17,intel xeon e5-2650 v3
282.1,2021-04-27 14:37:40,intel xeon e5-2650 v2
441.0,2021-04-28 15:00:01,intel xeon e5-2640 v4
389.99,2021-04-27 23:31:15,intel xeon e5-2637 v4
286.0,2021-04-28 15:54:42,intel xeon e5-2630l v3
200.69,2021-04-28 02:32:56,intel xeon e5-2630 v4
239.99,2021-04-28 13:03:19,intel xeon e5-2620 v4
259.0,2021-04-28 13:41:00,intel xeon e5-2620 v4
225.0,2021-04-27 20:33:48,intel xeon e3-1240 v6
2050.0,2021-04-28 21:43:23,intel xeon 6242
1850.0,2021-04-28 04:28:20,intel xeon 6234
1800.0,2021-04-28 21:09:59,intel xeon 6152
1800.0,2021-04-28 21:10:04,intel xeon 6152
1800.0,2021-04-28 21:10:08,intel xeon 6152
1200.0,2021-04-27 12:26:30,intel xeon 6134
398.0,2021-04-28 21:52:48,intel xeon 4208
350.0,2021-04-27 16:52:19,intel xeon 4110
200.69,2021-04-28 17:59:13,intel i5 9400t
200.0,2021-04-28 22:04:48,intel core i9-9900x
850.0,2021-04-29 00:00:17,intel core i9-9900k
206.0,2021-04-28 17:24:55,intel core i9-9900k
279.99,2021-04-28 20:54:13,intel core i9-9900k
340.0,2021-04-28 19:43:32,intel core i9-9900k
300.0,2021-04-28 19:27:48,intel core i9-9900k
284.99,2021-04-27 12:01:14,intel core i7-9700kf
255.0,2021-04-28 08:27:19,intel core i7-9700k
245.0,2021-04-29 01:04:48,intel core i7-9700
250.0,2021-04-27 18:08:41,intel core i7-8700k
600.0,2021-04-28 16:56:53,intel core i7-8700k
450.0,2021-04-28 11:01:34,intel core i7-8700k
220.0,2021-04-29 00:04:11,intel core i7-8700
200.0,2021-04-27 18:16:44,intel core i7-8086k
279.0,2021-04-29 02:00:42,intel core i7-7700k
850.0,2021-04-27 18:59:05,intel core i7-7700k
288.0,2021-04-27 23:12:11,intel core i7-7700k
269.0,2021-04-27 20:19:49,intel core i7-7700k
238.95,2021-04-28 17:12:20,intel core i7-7700
313.5,2021-04-27 10:28:37,intel core i7-6950x
200.0,2021-04-27 13:00:25,intel core i7-6850k
207.0,2021-04-27 14:56:47,intel core i7-6700t
3359.99,2021-04-28 16:37:00,intel core i7-6700t
269.99,2021-04-28 21:59:00,intel core i7-6700k
210.0,2021-04-28 02:56:45,intel core i7-6700k
215.0,2021-04-28 18:22:39,intel core i7-6700k
325.0,2021-04-28 21:07:35,intel core i7-6700k
204.0,2021-04-28 23:59:54,intel core i7-6700
200.0,2021-04-27 22:32:46,intel core i7-6700
385.0,2021-04-28 15:03:44,intel core i7-6700
225.0,2021-04-29 01:38:10,intel core i7-6700
205.99,2021-04-28 16:31:57,intel core i7-6700
275.0,2021-04-27 21:02:10,intel core i7-4960x
300.0,2021-04-27 18:03:09,intel core i7-4770
249.99,2021-04-28 16:40:27,intel core i7-4770
249.0,2021-04-27 21:17:32,intel core i7-10700f
269.99,2021-04-29 00:56:34,intel core i5-6500t
500.0,2021-04-28 14:58:27,intel core i5-6500
360.0,2021-04-28 19:19:49,intel core i5-6500
5000.0,2021-04-28 20:55:27,intel core i5-4570
299.99,2021-04-28 00:06:09,intel core i5-3470s
1000.0,2021-04-28 20:24:39,intel core i3-4130
1100.0,2021-04-27 14:00:01,amd ryzen threadripper 2950x
250.0,2021-04-23 18:37:41,amd ryzen threadripper 2920x
246.0,2021-04-24 22:37:42,amd ryzen threadripper 1950x
400.0,2021-04-06 05:13:14,amd ryzen threadripper 1950x
379.49,2021-04-10 02:22:31,amd ryzen threadripper 1950x
799.0,2021-04-22 03:41:23,amd ryzen threadripper 1920x
249.99,2021-04-22 18:15:51,amd ryzen threadripper 1920x
810.01,2021-04-28 04:31:42,amd ryzen 9 5950x
680.0,2021-04-25 16:57:06,amd ryzen 9 5900x
575.0,2021-04-24 18:08:42,amd ryzen 9 3950x
400.0,2021-04-24 07:46:27,amd ryzen 9 3900xt
659.88,2021-03-27 06:49:35,amd ryzen 9 3900xt
435.0,2021-04-06 07:19:48,amd ryzen 9 3900x
322.0,2021-04-26 17:47:36,amd ryzen 9 3900x
350.0,2021-04-26 02:36:34,amd ryzen 9 3900x
365.17,2021-04-25 11:44:39,amd ryzen 9 3900x
325.0,2021-04-25 00:17:35,amd ryzen 9 3900x
370.0,2021-04-24 23:38:39,amd ryzen 9 3900x
375.0,2021-04-24 14:31:43,amd ryzen 9 3900x
250.0,2021-04-28 20:34:54,amd ryzen 9 3900x
389.0,2021-04-29 02:09:47,amd ryzen 9 3900
648.0,2021-04-08 03:33:22,amd ryzen 7 5800x
830.0,2021-04-05 06:13:11,amd ryzen 7 5800x
350.0,2021-04-24 22:26:09,amd ryzen 7 5800x
450.0,2021-04-08 17:29:27,amd ryzen 7 5800x
300.0,2021-04-28 15:38:43,amd ryzen 7 5800x
360.0,2021-04-27 09:07:24,amd ryzen 7 5800x
340.0,2021-04-25 05:56:16,amd ryzen 7 3800xt
294.9,2021-04-25 23:51:58,amd ryzen 7 3800x
309.9,2021-04-17 00:25:20,amd ryzen 7 3800x
279.99,2021-04-18 20:27:10,amd ryzen 7 3700x
227.5,2021-04-25 21:39:34,amd ryzen 7 3700x
455.0,2021-04-05 06:07:54,amd ryzen 7 3700x
230.0,2021-04-28 19:44:39,amd ryzen 7 3700x
227.5,2021-04-23 02:00:47,amd ryzen 7 3700x
207.5,2021-04-22 16:04:57,amd ryzen 7 3700x
219.95,2021-04-27 07:09:30,amd ryzen 7 3700u
200.0,2021-04-27 20:29:29,amd ryzen 7 2700x
200.0,2021-04-21 21:36:08,amd ryzen 7 2700x
225.0,2021-04-25 00:19:03,amd ryzen 7 2700x
207.68,2021-04-16 08:21:46,amd ryzen 7 2700x
201.99,2021-04-28 19:27:43,amd ryzen 7 2700x
225.0,2021-04-09 13:43:45,amd ryzen 7 2700x
230.0,2021-04-25 13:51:01,amd ryzen 7 2700x
249.0,2021-04-29 01:30:40,amd ryzen 7 2700x
250.0,2021-04-22 17:11:26,amd ryzen 7 2700x
204.98,2021-04-16 08:21:46,amd ryzen 7 2700x
238.99,2021-04-02 03:26:56,amd ryzen 7 2700x
255.0,2021-04-25 00:38:44,amd ryzen 7 2700x
221.5,2021-04-22 03:21:16,amd ryzen 7 1700x
298.0,2021-04-10 23:39:08,amd ryzen 7 1700x
217.62,2021-03-30 00:48:16,amd ryzen 7 1700
285.0,2021-04-25 11:49:11,amd ryzen 5 5600x
289.0,2021-04-25 20:57:48,amd ryzen 5 5600x
260.0,2021-04-26 06:13:39,amd ryzen 5 5600x
299.0,2021-04-27 01:37:05,amd ryzen 5 5600x
469.0,2021-04-05 05:57:13,amd ryzen 5 5600x
459.0,2021-04-08 03:26:12,amd ryzen 5 5600x
200.0,2021-04-27 19:36:16,amd ryzen 5 3600xt
220.0,2021-04-27 21:24:20,amd ryzen 5 3600x
207.78,2021-04-01 21:53:53,amd ryzen 5 3600x
210.0,2021-04-27 06:50:19,amd ryzen 5 3600x
210.0,2021-04-29 00:04:33,amd ryzen 5 3600x
205.0,2021-04-27 08:00:18,amd ryzen 5 3600
240.0,2021-04-23 00:33:06,amd ryzen 5 3400g
250.0,2021-04-28 17:58:29,amd ryzen 5 3400g
250.0,2021-03-27 06:04:42,amd ryzen 5 2600
400.0,2021-04-24 02:36:07,amd ryzen 5 2600
230.0,2021-04-25 14:50:16,amd ryzen 5 2600
249.99,2021-04-10 00:11:53,amd ryzen 5 2400g
220.0,2021-04-19 03:26:03,amd ryzen 5 2400g
575.0,2021-04-24 21:05:50,amd ryzen 3950x
600.0,2021-04-26 18:33:19,amd ryzen 3 3200g
400.0,2021-04-25 17:55:53,amd ryzen 3 2200g
745.0,2021-04-10 23:20:43,amd ryzen 3 2200g
649.0,2021-04-12 10:41:58,amd r5-5600x
468.8,2021-04-12 10:26:34,amd r5-5600x
220.0,2021-04-17 01:23:24,amd r5 3600x
210.0,2021-04-01 07:55:59,amd r5 3600
380.0,2021-04-05 20:00:30,amd phenom ii x6 1055t
360.0,2021-04-28 02:36:43,amd phenom ii x6 1055t
400.0,2021-04-28 02:14:38,amd phenom ii x6 1055t
3249.0,2021-04-14 20:49:44,amd phenom ii x4 b97
220.0,2021-04-26 14:31:34,amd fx-9590
270.99,2021-04-20 09:50:34,amd fx-9590
216.8,2021-03-31 20:34:26,amd fx-9590
250.0,2021-04-24 19:19:57,amd fx-9590
251.5,2021-03-31 20:30:21,amd fx-8370e
299.93,2021-04-26 23:47:49,amd fx-8350
450.0,2021-04-28 11:16:51,amd fx-4100
3256.11,2021-04-22 10:54:56,amd epyc 7f72
3256.11,2021-04-12 16:27:22,amd epyc 7f72
699.0,2021-03-29 15:56:15,amd epyc 7601
2475.0,2021-04-20 14:39:40,amd epyc 7601
700.0,2021-04-26 12:35:47,amd epyc 7501
294.99,2021-04-08 08:34:25,amd epyc 7351p
542.69,2021-04-19 14:50:48,amd epyc 7351
249.87,2021-03-30 23:12:37,amd epyc 7261
250.47,2021-03-31 09:07:43,amd epyc 7251
360.0,2021-04-05 03:50:53,amd athlon ii x4 645
270.0,2021-04-28 11:11:20,amd athlon ii x4 635
240.0,2021-04-28 11:09:14,amd athlon ii x4 630
210.0,2021-04-28 11:07:25,amd athlon ii x4 620
200.0,2021-04-13 20:20:20,amd a8-7600
200.0,2021-04-07 02:49:25,amd a6-3650
279.99,2021-04-28 19:12:50,amd a10-5800k
2488.0,2021-04-28 10:26:09,amd 7702
4688.0,2021-04-28 10:15:14,amd 7702
285.0,2021-04-17 22:07:01,amd 7 3700x
