soldprice,date,link
389.0,2021-04-29 02:09:47,https://www.ebay.com/itm/AMD-Ryzen-9-3900-3-10-GHz-12-Core-100-000000070-unlocked-CPU-Processor-/254959997506
249.0,2021-04-29 01:30:40,https://www.ebay.com/itm/AMD-Ryzen-7-2700x-8-Core-16-Thread-Processor-CPU-RGB-LED-Cooler-/164839000242
210.0,2021-04-29 00:04:33,https://www.ebay.com/itm/Ryzen-5-3600x-/194073606115
479.59,2021-04-28 23:43:43,https://www.ebay.com/itm/NEW-AMD-Ryzen-9-5950X-Vermeer-16-Core-Processor-Hand-Discount-61-/194073584354
250.0,2021-04-28 20:34:54,https://www.ebay.com/itm/AMD-Ryzen-9-3900X-3-8Ghz-12-Core-AM4-Processor-Wraith-Prism-Cooler-/384121609367
230.0,2021-04-28 19:44:39,https://www.ebay.com/itm/AMD-Ryzen-7-3700X-8-Core-3-6GHz-CPU-Processor-No-Boot-Parts-/294148487099
201.99,2021-04-28 19:27:43,https://www.ebay.com/itm/RYZEN-2700X-/363376927158
279.99,2021-04-28 19:12:50,https://www.ebay.com/itm/AMD-Ryzen-7-3800XT-Processor-4-7-GHz-8-Cores-Socket-AM4-/174749856709
250.0,2021-04-28 17:58:29,https://www.ebay.com/itm/AMD-Ryzen-5-3400G-3-7GHz-4-Core-Upgraded-Wraith-Prism-/233986775473
1321.12,2021-04-28 16:55:25,https://www.ebay.com/itm/Dell-AMD-EPYC-7402P-2-80GHz-24-Core-CPU-P-N-100-000000048-/284275520183
1946.91,2021-04-28 16:55:25,https://www.ebay.com/itm/Dell-AMD-EPYC-7502P-2-50GHz-32-Core-CPU-P-N-100-000000045-/284275520187
2503.17,2021-04-28 16:55:25,https://www.ebay.com/itm/Dell-AMD-EPYC-7542-2-90GHz-32-Core-CPU-P-N-100-000000075-/284275520188
486.73,2021-04-28 16:55:25,https://www.ebay.com/itm/Dell-AMD-EPYC-7272-2-90GHz-12-Core-CPU-P-N-100-000000079-/373559349805
278.13,2021-04-28 16:55:25,https://www.ebay.com/itm/Dell-AMD-EPYC-7301-2-20GHz-16-Core-CPU-P-N-PS7301BEVGPAF-/373559349808
451.96,2021-04-28 16:55:25,https://www.ebay.com/itm/Dell-AMD-EPYC-7351P-2-40GHz-16-Core-CPU-P-N-PS735PBEVGPAF-/384121285484
1112.52,2021-04-28 16:55:25,https://www.ebay.com/itm/Dell-AMD-EPYC-7551P-2-00GHz-32-Core-CPU-P-N-PS755PBDVIHAF-/384121285488
347.66,2021-04-28 16:55:21,https://www.ebay.com/itm/Dell-AMD-EPYC-7281-2-1GHz-Sixteen-Core-CPU-PS7281BEVGAAF-/284275520102
300.0,2021-04-28 15:38:43,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-8-core-16-thread-Desktop-Processor-8-cores-And-16-threads-/224442397277
305.0,2021-04-28 15:24:42,https://www.ebay.com/itm/Ryzen-9-3900x-/194073164168
450.0,2021-04-28 11:16:51,https://www.ebay.com/itm/Lot-30-units-AMD-CPU-FX-Series-FX-4100-Quad-Core-CPU-3-6GHz-Socket-AM3-/184798236161
270.0,2021-04-28 11:11:20,https://www.ebay.com/itm/Lot-30-units-AMD-CPU-Athlon-II-X4-635-2-9GHz-Socket-AM3-/174749430866
240.0,2021-04-28 11:09:14,https://www.ebay.com/itm/Lot-30-units-AMD-CPU-Athlon-II-X4-630-2-8GHz-Socket-AM3-/174749429985
210.0,2021-04-28 11:07:25,https://www.ebay.com/itm/Lot-30-units-AMD-CPU-Athlon-II-X4-620-2-6GHz-Socket-AM3-/174749428803
2488.0,2021-04-28 10:26:09,https://www.ebay.com/itm/AMD-epyc-7502p-2-5ghz-128mb-180w-32-core-64-thread-CPU-/174749373741
4688.0,2021-04-28 10:15:14,https://www.ebay.com/itm/AMD-epyc-7702-2ghz-3-35ghz-64-core-128-lines-interface-sp3-cpu-/174749367341
367.0,2021-04-28 05:26:39,https://www.ebay.com/itm/AMD-Ryzen-7-3800x-AM4-Computer-Processor-Wraith-RGB-Aura-Cooler-/402812278066
810.01,2021-04-28 04:31:42,https://www.ebay.com/itm/AMD-Ryzen-9-5950X-Desktop-Processor-4-9GHz-16-Cores-Socket-AM4-USED-/303977214878
360.0,2021-04-28 02:36:43,https://www.ebay.com/itm/Lot-10-units-AMD-CPU-Phenom-X6-1055T-2-8GHz-Socket-AM3-TDP125W-/174749080703
400.0,2021-04-28 02:14:38,https://www.ebay.com/itm/Lot-10-units-AMD-CPU-Phenom-II-X6-1055T-2-8GHZ-Socket-AM3-TDP-95W-/184797466705
600.0,2021-04-28 01:27:14,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-2950x-16-Core-32-Threads-3-5GHz-Zen-CPU-/144022475853
205.0,2021-04-27 23:06:36,https://www.ebay.com/itm/AMD-Ryzen-7-3700x-Processor-8-Core-16-Threads-includes-Wraith-Prism-Cooler-/284274712494
325.0,2021-04-27 22:12:56,https://www.ebay.com/itm/AMD-5800x-/384119909536
220.0,2021-04-27 21:24:20,https://www.ebay.com/itm/EUC-AMD-Ryzen-5-3600X-Computer-Processor-Wraith-Spire-Fan-/194070775232
367.0,2021-04-27 21:19:58,https://www.ebay.com/itm/AMD-Ryzen-7-3800x-Computer-Processor-/402811721651
200.0,2021-04-27 20:29:29,https://www.ebay.com/itm/AMD-Ryzen-7-2700x-AM4-8c-16t-Zen-/324593954690
200.0,2021-04-27 19:36:16,https://www.ebay.com/itm/AMD-Ryzen-5-3600XT-6-core-Processor-Unlocked-/294146616635
1100.0,2021-04-27 14:00:01,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-2950x-ASUS-Rog-Zenith-Extreme-Alpha-X399-Motherbord-/333977431354
360.0,2021-04-27 09:07:24,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-Desktop-Processor-4-7GHz-8-Cores-Socket-AM4-Box-/114783422026
205.0,2021-04-27 08:00:18,https://www.ebay.com/itm/AMD-Ryzen-5-3600-Six-Core-3-6-GHz-Desktop-Processor-Wraith-Steel-Cooler-/144021256357
219.95,2021-04-27 07:09:30,https://www.ebay.com/itm/AMD-AMD-Ryzen-7-3700X-8-Core-3-6GHz-Processor-/124698121880
210.0,2021-04-27 06:50:19,https://www.ebay.com/itm/AMD-RYZEN-5-3600x-6-Core-3-8-GHz-Socket-AM4-/164836036444
330.0,2021-04-27 05:55:48,https://www.ebay.com/itm/amd-ryzen-7-3700x-3-6-ghz-8-core-processor-CPU-ONLY-/384117812474
330.0,2021-04-27 05:06:34,https://www.ebay.com/itm/AMD-Ryzen-9-3900x-Computer-Processor-/194067615727
300.0,2021-04-27 03:31:50,https://www.ebay.com/itm/AMD-EPYC-PS281BEVGAAF-16-CORE-/224440658489
299.0,2021-04-27 01:37:05,https://www.ebay.com/itm/AMD-Ryzen-5-5600X-Desktop-Processor-4-6GHz-6-Cores-Socket-AM4-Box-New-/194068282188
299.93,2021-04-26 23:47:49,https://www.ebay.com/itm/AMD-FX-8350-Octa-core-8-Core-4-GHz-Processor-Retail-Pack-4-20-GHz-8-MB-Cache-/224440482924
218.93,2021-04-26 23:47:34,https://www.ebay.com/itm/AMD-Ryzen-5-2600X-Socket-AM4-OEM-Processor-YD260XBCM6IAF-/324592630334
600.0,2021-04-26 18:33:19,https://www.ebay.com/itm/AMD-Ryzen-3-3200-G-XFX-RX580-4GB-Graphics-Adata-XPG-16GB-2x8GB-Memory-/384117861976
