soldprice,date,model
85.0,1/04,amd ryzen 3 1200
29.85,1/04,amd a8-3850
85.0,1/04,amd ryzen 3 1200
4.0,1/04,amd athlon ii x2 240
17.99,1/04,amd athlon 64 x2 4400+
85.0,1/04,amd ryzen 3 1200
39.95,1/04,amd a6-7400k
29.95,1/04,amd a6-6400
22.85,1/04,amd athlon x4 760k
721.0,1/04,amd ryzen 9 3900x
39.95,1/04,amd a6-7400k
125.0,1/04,amd ryzen 5 1600
32.99,1/05,amd phenom ii x4 965
19.95,1/05,amd phenom ii x3 710
99.99,1/05,amd fx-8320
22.99,1/05,amd athlon ii x4 630
19.19,1/05,amd athlon ii x4 635
89.99,1/06,amd phenom ii x6 1055t
90.0,1/06,amd a10-9700
30.0,1/06,amd phenom ii x4 850
35.0,1/06,amd a6-3500
255.0,1/06,amd ryzen 7 2700x
77.0,1/06,amd a8-9600
49.99,1/06,amd phenom ii x6 1055t
8.99,1/06,amd athlon ii x2 240
225.0,1/06,amd ryzen 5 1400
9.99,1/06,amd phenom ii x2 550
19.99,1/06,amd phenom x 4    9550
29.0,1/06,amd 486
99.99,1/06,amd fx-8320
168.0,1/07,amd ryzen 3 3200ge
138.0,1/07,amd ryzen 3 3100
330.0,1/07,amd ryzen 5 pro 4650g
40.55,1/07,amd phenom ii x6 1055t
12.99,1/07,amd athlon ii x2 245
540.0,1/07,amd ryzen 7 pro 4750g
14.99,1/07,amd a6-5400k
206.0,1/07,amd ryzen 3 pro 4350g
199.0,1/07,amd ryzen 3 3300x
36.8,1/07,amd a8-6500
11.99,1/07,amd opteron 270
155.96,1/07,amd ryzen 3 2200g
24.99,1/08,amd opteron 6128
22.0,1/08,amd processor
54.89,1/08,amd a6-9500
51.77,1/08,amd a6-9500
54.89,1/08,amd a6-9500
38.0,1/08,amd duron
51.75,1/08,amd a6-9500
64.99,1/09,amd a10-5800k
10.0,1/09,amd athlon ii x3 450
30.0,1/09,amd opteron 6272
158.0,1/10,amd ryzen 5 2600
14.99,1/10,amd athlon x2 5200
18.0,1/11,amd phenom ii x2 555
498.99,1/11,amd ryzen 5 3600
7.99,1/11,amd a6-4400m
37.0,1/11,amd a10-5800
55.0,1/12,amd fx-6200
20.0,1/12,amd phenom ii x3 720
69.93,1/12,amd fx-4100
55.0,1/12,amd fx-6300
199.98,1/12,amd ryzen 7 1800x
6.95,1/12,amd a4-5300
38.0,1/12,amd athlon x4 870k
100.0,1/12,amd a10-7860k
200.0,1/12,amd phenom ii x6 1100t
132.16,1/13,amd ryzen 5 1600
25.0,1/13,amd-k6-2
6.99,1/13,amd athlon ii x2 250
40.0,1/13,amd athlon x4 870k
12.99,1/13,amd athlon ii p340
140.0,1/13,amd ryzen 5 1400
9.99,1/13,amd a4-5300
35.0,1/13,amd-k6-2
