soldprice,date,model
389.0,2021-04-29 02:09:47,AMD Ryzen 9 3900
249.0,2021-04-29 01:30:40,AMD Ryzen 7 2700X
210.0,2021-04-29 00:04:33,AMD Ryzen 5 3600x
479.59,2021-04-28 23:43:43,AMD Ryzen 9
250.0,2021-04-28 20:34:54,AMD Ryzen 9 3900X
230.0,2021-04-28 19:44:39,AMD Ryzen 7 3700X
201.99,2021-04-28 19:27:43,AMD Ryzen 7 2700X
279.99,2021-04-28 19:12:50,AMD A10-5800K
250.0,2021-04-28 17:58:29,AMD Ryzen 5 3400g
1321.12,2021-04-28 16:55:25,EPYC 7402P
1946.91,2021-04-28 16:55:25,EPYC 7502P
2503.17,2021-04-28 16:55:25,EPYC 7542
486.73,2021-04-28 16:55:25,EPYC 7702
278.13,2021-04-28 16:55:25,EPYC 7402P
451.96,2021-04-28 16:55:25,EPYC 7551P
1112.52,2021-04-28 16:55:25,EPYC 7551P
347.66,2021-04-28 16:55:21,EPYC 7281
300.0,2021-04-28 15:38:43,AMD Ryzen 7 5800X
305.0,2021-04-28 15:24:42,ryzen 9 3900x
450.0,2021-04-28 11:16:51,AMD FX-4100
270.0,2021-04-28 11:11:20,AMD Athlon II X4 635
240.0,2021-04-28 11:09:14,AMD Athlon II X4 630
210.0,2021-04-28 11:07:25,AMD Athlon II X4 620
2488.0,2021-04-28 10:26:09,AMD 7702
4688.0,2021-04-28 10:15:14,AMD 7702
367.0,2021-04-28 05:26:39,Ryzen 7 3800x
810.01,2021-04-28 04:31:42,AMD Ryzen 9 5950x
360.0,2021-04-28 02:36:43,AMD Phenom II X6 1055T
400.0,2021-04-28 02:14:38,AMD Phenom II X6 1055T
600.0,2021-04-28 01:27:14,YD295XA8UGAAF
205.0,2021-04-27 23:06:36,3700x
325.0,2021-04-27 22:12:56,5800x
220.0,2021-04-27 21:24:20,AMD Ryzen 5 3600X
367.0,2021-04-27 21:19:58,NO
200.0,2021-04-27 20:29:29,AMD Ryzen 7 2700X
200.0,2021-04-27 19:36:16,amd ryzen 5 3600xt
1100.0,2021-04-27 14:00:01,AMD Ryzen Threadripper 2950x
360.0,2021-04-27 09:07:24,AMD Ryzen 7 5800X
205.0,2021-04-27 08:00:18,AMD Ryzen 5 3600
219.95,2021-04-27 07:09:30,AMD Ryzen 7 3700U
210.0,2021-04-27 06:50:19,AMD Ryzen 5 3600x
330.0,2021-04-27 05:55:48,AMD Ryzen 7
330.0,2021-04-27 05:06:34,NO
300.0,2021-04-27 03:31:50,EPYC 7281
299.0,2021-04-27 01:37:05,AMD Ryzen 5 5600X
299.93,2021-04-26 23:47:49,AMD FX-8350
218.93,2021-04-26 23:47:34,Not Available
600.0,2021-04-26 18:33:19,AMD Ryzen 3 3200G
386.0,2021-04-26 18:32:43,NO
322.0,2021-04-26 17:47:36,AMD Ryzen 9 3900x
1500.0,2021-04-26 15:29:33,Ryzen 9 3900x
220.0,2021-04-26 14:31:34,AMD FX-9590
327.0,2021-04-26 14:06:56,NO
700.0,2021-04-26 12:35:47,AMD EPYC 7501
325.0,2021-04-26 07:22:24,Ryzen 7 3800XT
260.0,2021-04-26 06:13:39,AMD Ryzen 5 5600X
400.0,2021-04-26 04:10:56,Ryzen 7 5800X
350.0,2021-04-26 02:36:34,AMD Ryzen 9 3900x
203.5,2021-04-26 02:02:34,NO
490.0,2021-04-26 00:23:46,NO
294.9,2021-04-25 23:51:58,AMD Ryzen 7 3800X
370.0,2021-04-25 21:54:07,NO
227.5,2021-04-25 21:39:34,AMD Ryzen 7 3700X
306.28,2021-04-25 21:22:03,Ryzen 7 3800X
289.0,2021-04-25 20:57:48,AMD Ryzen 5 5600x
425.0,2021-04-25 18:15:42,NO
325.0,2021-04-25 18:15:10,NO
400.0,2021-04-25 17:55:53,AMD Ryzen 3 2200G
300.0,2021-04-25 17:41:28,NO
680.0,2021-04-25 16:57:06,AMD Ryzen 9 5900X
230.0,2021-04-25 14:50:16,AMD Ryzen 5 2600
230.0,2021-04-25 13:51:01,AMD Ryzen 7 2700X
285.0,2021-04-25 11:49:11,AMD Ryzen 5 5600x
365.17,2021-04-25 11:44:39,Amd Ryzen 9 3900x
350.0,2021-04-25 09:43:32,NO
340.0,2021-04-25 05:56:16,AMD Ryzen 7 3800XT
400.0,2021-04-25 03:37:40,5800x
565.0,2021-04-25 00:40:36,Ryzen 9 3950x
255.0,2021-04-25 00:38:44,AMD Ryzen 7 2700X
225.0,2021-04-25 00:19:03,AMD Ryzen 7 2700X
325.0,2021-04-25 00:17:35,AMD Ryzen 9 3900x
